MovieTitle,TweetID,TweetText,TweetCreated,CompoundScore,positive_list,negative_list,neutral_list
The Equalizer 2,1024723772451053568,RT @SonyMoviesSA: #DenzelWashington is back in action in THE EQUALIZER 2. Check it out in SA cinemas 24 August and see why there is no equa…,Mon Aug 06 14:42:17 +0000 2018,-0.296,0.0,0.081,0.919
The Equalizer 2,1024723772451053568,RT @SonyMoviesSA: #DenzelWashington is back in action in THE EQUALIZER 2. Check it out in SA cinemas 24 August and see why there is no equa…,Mon Aug 06 14:35:23 +0000 2018,-0.296,0.0,0.081,0.919
The Equalizer 2,1024723772451053568,"Our #MCM, DenzelWashington (born December 28, 1954) is an American actor, director, and producer. 
He stars in the… https://t.co/YxwqZaKqET",Mon Aug 06 14:30:08 +0000 2018,0.0,0.0,0.0,1.0
The Equalizer 2,1024723772451053568,The PCR team are heading out tonight to our early screening of #TheEqualizer2 after a great first film we are inter… https://t.co/zFUr0ueSIC,Mon Aug 06 14:16:57 +0000 2018,0.6249,0.17,0.0,0.83
The Equalizer 2,1024723772451053568,"RT @BORReport: The Equalizer 2 grossed an estimated $8.83M this weekend.  17-Day total stands at $79.89M.

#TheEqualizer2  #BoxOffice  @Son…",Mon Aug 06 13:43:56 +0000 2018,-0.1027,0.0,0.076,0.924
The Equalizer 2,1024723772451053568,RT @studiomoviegril: Justice becomes vengeance in #TheEqualizer2 - don’t miss the “heart-pounding” action on the big screen today! 💢 https:…,Mon Aug 06 12:37:59 +0000 2018,0.4753,0.173,0.075,0.751
The Equalizer 2,1024723772451053568,"@VisionInBlue I know right!
Been a good year for films so far! 
Going to #TheEqualizer2 tonight! 
Will be my 40th v… https://t.co/EO6bC1U8Ie",Mon Aug 06 12:24:11 +0000 2018,0.5826,0.166,0.0,0.834
The Equalizer 2,1024723772451053568,RT @TheEqualizer: In Denzel we trust. See why fans are raving about #TheEqualizer2 - now playing. 💢 https://t.co/aE21nQL8Uk,Mon Aug 06 12:11:28 +0000 2018,0.6249,0.267,0.0,0.733
The Equalizer 2,1024723772451053568,"""Make sure I get a 5-star rating junior.""

—Denzel Washington as Robert McCall 

@TheEqualizer #theequalizer2 @lyft",Mon Aug 06 12:06:48 +0000 2018,0.3182,0.15,0.0,0.85
The Equalizer 2,1024723772451053568,RT @mnetmovies: Monday sounds like a great day to enter and WIN yourself tickets to join us at @SterKinekor for an exclusive pre-screening…,Mon Aug 06 12:02:19 +0000 2018,0.9304,0.466,0.0,0.534
The Equalizer 2,1024723772451053568,RT @TheEqualizer: No cape. No mask. Only justice. Denzel is back in #TheEqualizer2 - now in theaters. https://t.co/aj9JIPfTrQ 💢 https://t.c…,Mon Aug 06 11:32:43 +0000 2018,0.0,0.149,0.193,0.658
The Equalizer 2,1024723772451053568,RT @mnetmovies: Monday sounds like a great day to enter and WIN yourself tickets to join us at @SterKinekor for an exclusive pre-screening…,Mon Aug 06 11:02:21 +0000 2018,0.9304,0.466,0.0,0.534
